UniqueID,Price,Date,PostCode,PropertyType,IsNewBuild,Freehold,PAON,SAON,Street,Locality,City,District,County,PPType,RecordStatus
{7C1E3CCC-89A1-4AE6-85F2-01CE179463C3},45000,1995-11-13,TR11 3BN,T,False,F,16,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{077D9214-BFB1-4B29-B554-49585C11767C},38000,1995-09-22,TR11 3BN,T,False,F,28,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{93F8FDD4-E1B0-4C77-9EB4-49A981DA4B7B},45000,1995-04-21,TR11 3BN,T,False,F,30,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{F774A886-2900-4E59-B100-E0B97414A43C},31000,1995-08-25,TR11 3BN,T,False,F,23,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{27A38F5F-7BA7-4C68-80F3-9E01F8FA24C9},84950,2001-08-21,TR11 3BN,T,False,F,11,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{4B24785F-8335-4520-808D-4F9B8FE1E167},217706,2007-01-15,TR11 3BN,T,False,F,26,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{6BE2E175-1353-4975-9618-62B583BFCEA3},246000,2007-05-11,TR11 3BN,T,False,F,28,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{CD2AD0E8-0603-4600-BDF5-5F6C9D0A852D},158000,2007-02-02,TR11 3BN,T,False,F,18,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{AD81A128-386D-4F7A-9642-8204FCA3D98F},201500,2007-08-24,TR11 3BN,T,False,F,33,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{806FCB7E-B2F2-45A3-BD3C-8EC8EBCD0F41},238000,2007-09-21,TR11 3BN,S,False,F,4,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{0D040F6D-87F3-4B94-89A7-959735EF1CB9},194000,2007-03-15,TR11 3BN,T,False,F,20,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{D48D4EAC-5F86-4C96-B9A4-AD61929B43B8},285000,2007-07-30,TR11 3BN,T,False,F,9,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{E767148F-17CB-4502-A787-DFD15F9AF695},277500,2007-09-17,TR11 3BN,T,False,F,29,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{44402E45-0481-4AEE-8724-190038E173AF},30000,1997-12-15,TR11 3BN,T,False,F,23,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{DC2FE855-2E2D-426C-ADEB-A9C18B931120},43500,1997-07-25,TR11 3BN,T,False,F,18,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{4DBB002D-3FE9-4C67-B7A4-A6506846D987},58000,1997-06-27,TR11 3BN,T,False,F,10,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{AB0024BF-FCED-46F9-AD0B-97ECB6D65BE9},188750,2005-06-03,TR11 3BN,T,False,F,1,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{A414D0AC-56ED-4C07-AAD2-E943973502FC},242500,2014-10-07,TR11 3BN,T,False,F,30,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{A02CC6E4-7DD2-4D01-A926-1ACC127546F5},210000,2011-06-17,TR11 3BN,T,False,F,19,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{DBA7FD90-5792-4A7B-B3BB-7C8046505206},250000,2011-03-31,TR11 3BN,T,False,F,3,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{3A41CB5D-56C9-4498-B63C-9CE964B86DE2},250000,2011-04-18,TR11 3BN,T,False,F,17,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{08DAE217-B2A2-4850-B480-AB811A486C12},218000,2011-01-21,TR11 3BN,T,False,F,28,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{6B7E3D4A-43E3-4E23-AA58-1B33702F601D},45000,1996-01-09,TR11 3BN,T,False,F,30,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{BA0F922B-DD0A-4291-A13F-6DD98E31E416},59000,1996-05-24,TR11 3BN,T,False,F,35,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{A91F0DAD-F0C4-4196-8A49-63AEA40C9EE0},39750,1996-09-16,TR11 3BN,T,False,F,18,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{AE822026-D368-4604-B58C-C40786BA2105},33000,1996-07-22,TR11 3BN,T,False,F,6,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{379E3E84-47EE-4107-B54A-A9A4C980B998},92000,2000-04-20,TR11 3BN,T,False,F,17,"",WELLINGTON TERRACE,"",FALMOUTH,CARRICK,CORNWALL,A,A
{2977CC1F-2733-4AEF-BC7B-B84EC57F771C},70000,2000-11-29,TR11 3BN,T,False,F,5,"",WELLINGTON TERRACE,"",FALMOUTH,CARRICK,CORNWALL,A,A
{8A673396-D127-4648-8660-D62EC4D647CE},205000,2015-02-09,TR11 3BN,T,False,F,27,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{D282E833-E868-4148-92E5-39188DD56EAB},240000,2004-08-25,TR11 3BN,T,False,F,22,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{251C7FB3-E5E8-43BE-8123-E2CA1C7836BA},160000,2004-05-07,TR11 3BN,T,False,F,6,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{3474509F-95CB-461D-885D-FE2E9270D63A},166000,2004-07-28,TR11 3BN,T,False,F,5,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{C21F8890-8D1D-4F4E-82ED-545178DF491F},51500,1998-12-11,TR11 3BN,T,False,F,18,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{34EF2992-73A3-4929-9913-A80775D1848B},56000,1998-04-09,TR11 3BN,T,False,F,5,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{33413B33-CE06-4B18-A5C2-BE9A057B00EA},235000,2006-12-06,TR11 3BN,T,False,F,25,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{F69FBBA3-4D6A-4C07-95CC-BC9C0BCFD15D},270000,2006-06-08,TR11 3BN,T,False,F,31,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{8CFE75D9-3615-4B7E-840F-D72B24033880},127500,2006-06-29,TR11 3BN,T,False,F,26,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{2A17FF26-8A6B-4EE7-934E-FBD75119F606},195000,2006-01-06,TR11 3BN,T,False,F,32,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{70F62F09-2523-471C-88E7-132415CEE948},63950,1999-05-07,TR11 3BN,T,False,F,13,"",WELLINGTON TERRACE,"",FALMOUTH,CARRICK,CORNWALL,A,A
{2F71FB04-ECB6-42A5-874E-CB2836A55E32},165000,2003-05-09,TR11 3BN,T,False,F,16,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{FA651731-CE86-4226-ABA0-E80C988D5B90},165000,2003-09-01,TR11 3BN,T,False,F,25,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{ABF3717D-0B59-43EA-BD5C-492B3D195C63},215000,2013-05-03,TR11 3BN,T,False,F,16,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{42349EF9-88B9-4C2C-9D04-6D6D4209F9F3},215500,2013-09-30,TR11 3BN,T,False,F,22,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{AC9CC259-B523-4DF4-AEB1-D4FF3FED4CB3},250000,2009-12-15,TR11 3BN,T,False,F,30,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{3374AA13-6936-4373-BC25-16C6C00D9B4C},278000,2010-06-25,TR11 3BN,T,False,F,33,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
{A9E9DBBC-DDF7-47AF-A581-366D9A196857},95000,2002-05-31,TR11 3BN,T,False,F,18,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{18633EEA-A21E-4CF7-B649-74E9CB3CAC17},131000,2002-05-31,TR11 3BN,T,False,F,16,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{7CD5A68A-3091-4924-8E79-F85B01201116},95088,2002-06-28,TR11 3BN,T,False,F,19,"",WELLINGTON TERRACE,FALMOUTH,FALMOUTH,CARRICK,CORNWALL,A,A
{F72FC8DF-6D00-428F-89B4-323D99F5C9F0},260000,2012-06-01,TR11 3BN,T,False,F,32,"",WELLINGTON TERRACE,"",FALMOUTH,CORNWALL,CORNWALL,A,A
